organism,scientificName,originalKey,genome,taxId,db
Panda,Ailuropoda melanoleuca,,Panda,9646,ailMel1
American alligator,Alligator mississippiensis,,American alligator,8496,allMis1
Lizard,Anolis carolinensis,,Lizard,28377,anoCar1
Lizard,Anolis carolinensis,,Lizard,28377,anoCar2
A. gambiae,Anopheles gambiae,,A. gambiae,7165,anoGam1
A. gambiae,Anopheles gambiae,,A. gambiae,180454,anoGam3
A. mellifera,Apis mellifera,,A. mellifera,7460,apiMel1
A. mellifera,Apis mellifera,,A. mellifera,7460,apiMel2
Sea hare,Aplysia californica,,Sea hare,6500,aplCal1
Brown kiwi,Apteryx australis,,Brown kiwi,202946,aptMan1
Golden eagle,Aquila chrysaetos canadensis,,Golden eagle,216574,aquChr2
Minke whale,Balaenoptera acutorostrata scammoni,,Minke whale,310752,balAcu1
Bison,Bison bison bison,,Bison,43346,bisBis1
Cow,Bos taurus,,Cow,9913,bosTau2
Cow,Bos taurus,,Cow,9913,bosTau3
Cow,Bos taurus,,Cow,9913,bosTau4
Cow,Bos taurus,,Cow,9913,bosTau6
Cow,Bos taurus,,Cow,9913,bosTau7
Cow,Bos taurus,,Cow,9913,bosTau8
Cow,Bos taurus,,Cow,9913,bosTau9
Lancelet,Branchiostoma floridae,,Lancelet,7739,braFlo1
C. japonica,Caenorhabditis japonica,,C. japonica,281687,caeJap1
C. brenneri,Caenorhabditis brenneri,,C. brenneri,135651,caePb1
C. brenneri,Caenorhabditis brenneri,,C. brenneri,135651,caePb2
C. remanei,Caenorhabditis remanei,,C. remanei,31234,caeRem2
C. remanei,Caenorhabditis remanei,,C. remanei,31234,caeRem3
Marmoset,Callithrix jacchus,,Marmoset,9483,calJac1
Marmoset,Callithrix jacchus,,Marmoset,9483,calJac3
Marmoset,Callithrix jacchus,,Marmoset,9483,calJac4
Elephant shark,Callorhinchus milii,,Elephant shark,7868,calMil1
Dog,Canis lupus familiaris,,Dog,9615,canFam1
Dog,Canis lupus familiaris,,Dog,9615,canFam2
Dog,Canis lupus familiaris,,Dog,9615,canFam3
Dog,Canis lupus familiaris,,Dog,9615,canFam4
Dog,Canis lupus familiaris,,Dog,9615,canFam5
Dog,Canis lupus familiaris,,Dog,9615,canFam6
Guinea pig,Cavia porcellus,,Guinea pig,10141,cavPor3
C. briggsae,Caenorhabditis briggsae,,C. briggsae,6238,cb1
C. briggsae,Caenorhabditis briggsae,,C. briggsae,6238,cb3
C. elegans,Caenorhabditis elegans,,C. elegans,6239,ce10
C. elegans,Caenorhabditis elegans,,C. elegans,6239,ce11
C. elegans,Caenorhabditis elegans,,C. elegans,6239,ce2
C. elegans,Caenorhabditis elegans,,C. elegans,6239,ce4
C. elegans,Caenorhabditis elegans,,C. elegans,6239,ce6
White rhinoceros,Ceratotherium simum,,White rhinoceros,73337,cerSim1
Green monkey,Chlorocebus sabaeus,,Green monkey,60711,chlSab2
Sloth,Choloepus hoffmanni,,Sloth,9358,choHof1
Painted turtle,Chrysemys picta bellii,,Painted turtle,8478,chrPic1
C. intestinalis,Ciona intestinalis,,C. intestinalis,7719,ci1
C. intestinalis,Ciona intestinalis,,C. intestinalis,7719,ci2
C. intestinalis,Ciona intestinalis,,C. intestinalis,7719,ci3
Chinese hamster,Cricetulus griseus,,Chinese hamster,10029,criGri1
Chinese hamster,Cricetulus griseus,,Chinese hamster,10029,criGriChoV1
Chinese hamster,Cricetulus griseus,,Chinese hamster,10029,criGriChoV2
Zebrafish,Danio rerio,,Zebrafish,7955,danRer10
Zebrafish,Danio rerio,,Zebrafish,7955,danRer11
Zebrafish,Danio rerio,,Zebrafish,7955,danRer3
Zebrafish,Danio rerio,,Zebrafish,7955,danRer4
Zebrafish,Danio rerio,,Zebrafish,7955,danRer5
Zebrafish,Danio rerio,,Zebrafish,7955,danRer6
Zebrafish,Danio rerio,,Zebrafish,7955,danRer7
Armadillo,Dasypus novemcinctus,,Armadillo,9361,dasNov3
Kangaroo rat,Dipodomys ordii,,Kangaroo rat,10020,dipOrd1
D. melanogaster,Drosophila melanogaster,,D. melanogaster,7227,dm1
D. melanogaster,Drosophila melanogaster,,D. melanogaster,7227,dm2
D. melanogaster,Drosophila melanogaster,,D. melanogaster,7227,dm3
D. melanogaster,Drosophila melanogaster,,D. melanogaster,7227,dm6
D. pseudoobscura,Drosophila pseudoobscura,,D. pseudoobscura,7237,dp2
D. pseudoobscura,Drosophila pseudoobscura,,D. pseudoobscura,7237,dp3
D. ananassae,Drosophila ananassae,,D. ananassae,7217,droAna1
D. ananassae,Drosophila ananassae,,D. ananassae,7217,droAna2
D. erecta,Drosophila erecta,,D. erecta,7220,droEre1
D. grimshawi,Drosophila grimshawi,,D. grimshawi,7222,droGri1
D. mojavensis,Drosophila mojavensis,,D. mojavensis,7230,droMoj1
D. mojavensis,Drosophila mojavensis,,D. mojavensis,7230,droMoj2
D. persimilis,Drosophila persimilis,,D. persimilis,7234,droPer1
D. sechellia,Drosophila sechellia,,D. sechellia,7238,droSec1
D. simulans,Drosophila simulans,,D. simulans,7240,droSim1
D. virilis,Drosophila virilis,,D. virilis,7244,droVir1
D. virilis,Drosophila virilis,,D. virilis,7244,droVir2
D. yakuba,Drosophila yakuba,,D. yakuba,7245,droYak1
D. yakuba,Drosophila yakuba,,D. yakuba,7245,droYak2
Ebola virus,Filoviridae ebolavirus,,Ebola virus,186538,eboVir3
Tenrec,Echinops telfairi,,Tenrec,9371,echTel1
Tenrec,Echinops telfairi,,Tenrec,9371,echTel2
Southern sea otter,Enhydra lutris nereis,,Southern sea otter,1049777,enhLutNer1
Horse,Equus caballus,,Horse,9796,equCab1
Horse,Equus caballus,,Horse,9796,equCab2
Horse,Equus caballus,,Horse,9796,equCab3
Hedgehog,Erinaceus europaeus,,Hedgehog,9365,eriEur1
Hedgehog,Erinaceus europaeus,,Hedgehog,9365,eriEur2
Cat,Felis catus,,Cat,9685,felCat3
Cat,Felis catus,,Cat,9685,felCat4
Cat,Felis catus,,Cat,9685,felCat5
Cat,Felis catus,,Cat,9685,felCat8
Cat,Felis catus,,Cat,9685,felCat9
Fugu,Takifugu rubripes,,Fugu,31033,fr1
Fugu,Takifugu rubripes,,Fugu,31033,fr2
Fugu,Takifugu rubripes,,Fugu,31033,fr3
Atlantic cod,Gadus morhua,,Atlantic cod,8049,gadMor1
Chicken,Gallus gallus,,Chicken,9031,galGal2
Chicken,Gallus gallus,,Chicken,9031,galGal3
Chicken,Gallus gallus,,Chicken,9031,galGal4
Chicken,Gallus gallus,,Chicken,9031,galGal5
Chicken,Gallus gallus,,Chicken,9031,galGal6
Malayan flying lemur,Galeopterus variegatus,,Malayan flying lemur,482537,galVar1
Stickleback,Gasterosteus aculeatus,,Stickleback,69293,gasAcu1
Medium ground finch,Geospiza fortis,,Medium ground finch,48883,geoFor1
Gorilla,Gorilla gorilla gorilla,,Gorilla,9595,gorGor3
Gorilla,Gorilla gorilla gorilla,,Gorilla,9595,gorGor4
Gorilla,Gorilla gorilla gorilla,,Gorilla,9595,gorGor5
Gorilla,Gorilla gorilla gorilla,,Gorilla,9595,gorGor6
Naked mole-rat,Heterocephalus glaber,,Naked mole-rat,10181,hetGla1
Naked mole-rat,Heterocephalus glaber,,Naked mole-rat,10181,hetGla2
Human,Homo sapiens,,Human,9606,hg16
Human,Homo sapiens,,Human,9606,hg17
Human,Homo sapiens,,Human,9606,hg18
Human,Homo sapiens,,Human,9606,hg19
Human,Homo sapiens,,Human,9606,hg38
Human,Homo sapiens,,Human,9606,hs1
Coelacanth,Latimeria chalumnae,,Coelacanth,7897,latCha1
Elephant,Loxodonta africana,,Elephant,9785,loxAfr3
Wallaby,Macropus eugenii,,Wallaby,9315,macEug2
Crab-eating macaque,Macaca fascicularis,,Crab-eating macaque,9541,macFas5
Chinese pangolin,Manis pentadactyla,,Chinese pangolin,143292,manPen1
Turkey,Meleagris gallopavo,,Turkey,9103,melGal1
Turkey,Meleagris gallopavo,,Turkey,9103,melGal5
Budgerigar,Melopsittacus undulatus,,Budgerigar,13146,melUnd1
Mouse lemur,Microcebus murinus,,Mouse lemur,30608,micMur1
Mouse lemur,Microcebus murinus,,Mouse lemur,30608,micMur2
Mouse,Mus musculus,,Mouse,10090,mm10
Mouse,Mus musculus,,Mouse,10090,mm39
Mouse,Mus musculus,,Mouse,10090,mm7
Mouse,Mus musculus,,Mouse,10090,mm8
Mouse,Mus musculus,,Mouse,10090,mm9
Opossum,Monodelphis domestica,,Opossum,13616,monDom1
Opossum,Monodelphis domestica,,Opossum,13616,monDom4
Opossum,Monodelphis domestica,,Opossum,13616,monDom5
Monkeypox virus,Monkeypox virus,,Monkeypox virus,10244,mpxvRivers
Ferret ,Mustela putorius furo,,Ferret ,9669,musFur1
Tibetan frog,Nanorana parkeri,,Tibetan frog,125878,nanPar1
Proboscis monkey,Nasalis larvatus,,Proboscis monkey,43780,nasLar1
Hawaiian monk seal,Neomonachus schauinslandi,,Hawaiian monk seal,29088,neoSch1
Gibbon,Nomascus leucogenys,,Gibbon,61853,nomLeu1
Gibbon,Nomascus leucogenys,,Gibbon,61853,nomLeu2
Gibbon,Nomascus leucogenys,,Gibbon,61853,nomLeu3
Pika,Ochotona princeps,,Pika,9978,ochPri2
Pika,Ochotona princeps,,Pika,9978,ochPri3
Nile tilapia,Oreochromis niloticus,,Nile tilapia,8128,oreNil2
Platypus,Ornithorhynchus anatinus,,Platypus,9258,ornAna1
Platypus,Ornithorhynchus anatinus,,Platypus,9258,ornAna2
Rabbit,Oryctolagus cuniculus,,Rabbit,9986,oryCun2
Medaka,Oryzias latipes,,Medaka,8090,oryLat2
Bushbaby,Otolemur garnettii,,Bushbaby,30611,otoGar3
Sheep,Ovis aries,,Sheep,9940,oviAri1
Sheep,Ovis aries,,Sheep,9940,oviAri3
Sheep,Ovis aries,,Sheep,9940,oviAri4
Bonobo,Pan paniscus,,Bonobo,9597,panPan1
Bonobo,Pan paniscus,,Bonobo,9597,panPan2
Bonobo,Pan paniscus,,Bonobo,9597,panPan3
Chimp,Pan troglodytes,,Chimp,9598,panTro1
Chimp,Pan troglodytes,,Chimp,9598,panTro2
Chimp,Pan troglodytes,,Chimp,9598,panTro3
Chimp,Pan troglodytes,,Chimp,9598,panTro4
Chimp,Pan troglodytes,,Chimp,9598,panTro5
Chimp,Pan troglodytes,,Chimp,9598,panTro6
Baboon,Papio anubis,,Baboon,9555,papAnu2
Baboon,Papio anubis,,Baboon,9555,papAnu4
Baboon,Papio hamadryas,,Baboon,9562,papHam1
Lamprey,Petromyzon marinus,,Lamprey,7757,petMar1
Lamprey,Petromyzon marinus,,Lamprey,7757,petMar2
Lamprey,Petromyzon marinus,,Lamprey,7757,petMar3
Orangutan,Pongo pygmaeus abelii,,Orangutan,9601,ponAbe2
Orangutan,Pongo pygmaeus abelii,,Orangutan,9601,ponAbe3
P. pacificus,Pristionchus pacificus,,P. pacificus,54126,priPac1
Rock hyrax,Procavia capensis,,Rock hyrax,9813,proCap1
Megabat,Pteropus vampyrus,,Megabat,132908,pteVam1
Rhesus,Macaca mulatta,,Rhesus,9544,rheMac10
Rhesus,Macaca mulatta,,Rhesus,9544,rheMac2
Rhesus,Macaca mulatta,,Rhesus,9544,rheMac3
Rhesus,Macaca mulatta,,Rhesus,9544,rheMac8
Golden snub-nosed monkey,Rhinopithecus roxellana,,Golden snub-nosed monkey,61622,rhiRox1
Rat,Rattus norvegicus,,Rat,10116,rn3
Rat,Rattus norvegicus,,Rat,10116,rn4
Rat,Rattus norvegicus,,Rat,10116,rn5
Rat,Rattus norvegicus,,Rat,10116,rn6
Rat,Rattus norvegicus,,Rat,10116,rn7
S. cerevisiae,Saccharomyces cerevisiae,,S. cerevisiae,4932,sacCer1
S. cerevisiae,Saccharomyces cerevisiae,,S. cerevisiae,4932,sacCer2
S. cerevisiae,Saccharomyces cerevisiae,,S. cerevisiae,559292,sacCer3
Squirrel monkey,Saimiri boliviensis,,Squirrel monkey,39432,saiBol1
Tasmanian devil,Sarcophilus harrisii,,Tasmanian devil,9305,sarHar1
Shrew,Sorex araneus,,Shrew,42254,sorAra1
Shrew,Sorex araneus,,Shrew,42254,sorAra2
Squirrel,Spermophilus tridecemlineatus,,Squirrel,43179,speTri2
S. purpuratus,Strongylocentrotus purpuratus,,S. purpuratus,7668,strPur1
S. purpuratus,Strongylocentrotus purpuratus,,S. purpuratus,7668,strPur2
Pig,Sus scrofa,,Pig,9823,susScr11
Pig,Sus scrofa,,Pig,9823,susScr2
Pig,Sus scrofa,,Pig,9823,susScr3
Zebra finch,Taeniopygia guttata,,Zebra finch,59729,taeGut1
Zebra finch,Taeniopygia guttata,,Zebra finch,59729,taeGut2
Tarsier,Tarsius syrichta,,Tarsier,9478,tarSyr1
Tarsier,Tarsius syrichta,,Tarsier,9478,tarSyr2
Tetraodon,Tetraodon nigroviridis,,Tetraodon,99883,tetNig1
Tetraodon,Tetraodon nigroviridis,,Tetraodon,99883,tetNig2
Garter snake,Thamnophis sirtalis,,Garter snake,35019,thaSir1
Manatee,Trichechus manatus latirostris,,Manatee,127582,triMan1
Tree shrew,Tupaia belangeri,,Tree shrew,37347,tupBel1
Dolphin,Tursiops truncatus,,Dolphin,9739,turTru2
Alpaca,Vicugna pacos,,Alpaca,30538,vicPac1
Alpaca,Vicugna pacos,,Alpaca,30538,vicPac2
SARS-CoV-2,SARS-CoV-2,,SARS-CoV-2,2697049,wuhCor1
African clawed frog,Xenopus laevis,,African clawed frog,8355,xenLae2
X. tropicalis,Xenopus tropicalis,,X. tropicalis,8364,xenTro1
X. tropicalis,Xenopus tropicalis,,X. tropicalis,8364,xenTro10
X. tropicalis,Xenopus tropicalis,,X. tropicalis,8364,xenTro2
X. tropicalis,Xenopus tropicalis,,X. tropicalis,8364,xenTro3
X. tropicalis,Xenopus tropicalis,,X. tropicalis,8364,xenTro7
X. tropicalis,Xenopus tropicalis,,X. tropicalis,8364,xenTro9
